"id ","beacon 1","beacon 2","beacon 3","beacon 4","beacon 5","beacon 6","beacon 7","beacon 8","beacon 9","beacon 10","beacon 11","beacon 12","beacon 13","beacon 14","beacon 15","beacon 16","beacon 17","beacon 18","beacon 19","beacon 20","beacon 21","beacon 22","beacon 23","beacon 24","beacon 25","beacon 26","beacon 27","beacon 28","beacon 29","beacon 30","beacon 31","beacon 32","beacon 33","beacon 34"
"1","-1000","-1000","-66","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-84","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-66","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-84","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-66","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-66","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-66","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"2","-85","-97","-77","-1000","-1000","-87","-1000","-94","-91","-73","-79","-80","-97","-93","-95","-93","-92","-93","-95","-92","-91","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-97","-1000","-77"
"2","-92","-86","-78","-1000","-1000","-89","-1000","-94","-85","-81","-77","-81","-1000","-93","-95","-95","-93","-93","-91","-90","-95","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"2","-92","-86","-78","-1000","-1000","-90","-1000","-94","-85","-78","-76","-81","-1000","-95","-90","-94","-93","-93","-91","-95","-95","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"2","-92","-86","-78","-1000","-1000","-90","-1000","-94","-85","-78","-79","-81","-1000","-94","-90","-94","-93","-93","-91","-88","-99","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"2","-90","-86","-78","-1000","-1000","-83","-1000","-1000","-85","-75","-79","-81","-1000","-91","-90","-97","-95","-93","-92","-89","-91","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"2","-90","-86","-78","-1000","-1000","-86","-1000","-1000","-89","-76","-79","-89","-1000","-91","-90","-94","-92","-87","-90","-90","-94","-97","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"2","-90","-84","-65","-1000","-1000","-84","-1000","-1000","-87","-76","-79","-77","-1000","-1000","-90","-94","-92","-93","-90","-90","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"2","-90","-89","-65","-1000","-1000","-84","-1000","-1000","-87","-76","-73","-77","-1000","-1000","-96","-94","-98","-93","-90","-90","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-74"
"2","-90","-83","-63","-1000","-1000","-88","-1000","-1000","-87","-76","-74","-89","-1000","-1000","-97","-92","-91","-93","-90","-90","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-74"
"2","-90","-83","-66","-1000","-1000","-88","-1000","-1000","-87","-68","-81","-78","-1000","-1000","-97","-92","-92","-93","-90","-90","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-76"
"2","-90","-83","-66","-1000","-1000","-88","-1000","-1000","-87","-69","-81","-78","-1000","-1000","-96","-95","-91","-91","-90","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-87"
